name,redundancy,shared name,significance,status,xrefID,xrefName
YFR053C,-1,HXK1,-1,ANCHOR,850614,HXK1
YBR159W,-1,IFA38,-1,ANCHOR,852456,IFA38
YBR127C,-1,VMA2,-1,ANCHOR,852424,VMA2
YOL126C,-1,MDH2,-1,ANCHOR,853994,MDH2
YDL185W,-1,VMA1,-1,ANCHOR,851342,VMA1
YML126C,-1,ERG13,-1,ANCHOR,854913,ERG13
YML110C,-1,COQ5,-1,ANCHOR,854930,COQ5
YLR153C,-1,ACS2,-1,ANCHOR,850846,ACS2
YOL061W,-1,PRS5,-1,ANCHOR,854093,PRS5
YMR300C,-1,ADE4,-1,ANCHOR,855346,ADE4
YGL012W,-1,ERG4,-1,ANCHOR,852872,ERG4
SSB1,1,SSB1,1,NODE,851369,SSB1
SSA1,1,SSA1,0.546501,NODE,851259,SSA1
ISW1,1,ISW1,0.541342,NODE,852547,ISW1
DHH1,0.4,DHH1,1,NODE,851394,DHH1
SSA2,1,SSA2,0.981491,NODE,850636,SSA2
HSP42,0.8,HSP42,8.77E-23,NODE,851751,HSP42
HSP82,1,HSP82,1.44E-05,NODE,855836,HSP82
PUF3,1,PUF3,0.975143,NODE,850647,PUF3
SSE1,1,SSE1,0.00387903,NODE,855998,SSE1
SSB2,1,SSB2,0.984236,NODE,855512,SSB2
RSP5,1,RSP5,3.05E-05,NODE,856862,RSP5
RPN11,1,RPN11,5.04E-09,NODE,850554,RPN11
YJR121W,-1,ATP2,-1,ANCHOR,853585,ATP2
YBL099W,-1,ATP1,-1,ANCHOR,852177,ATP1
GAL80,1,GAL80,6.19E-30,NODE,854954,GAL80
YDR050C,-1,TPI1,-1,ANCHOR,851620,TPI1
PEX5,1,PEX5,6.58E-38,NODE,851831,PEX5
YDR516C,-1,EMI2,-1,ANCHOR,852128,EMI2
YGL008C,-1,PMA1,-1,ANCHOR,852876,PMA1
YDL078C,-1,MDH3,-1,ANCHOR,851481,MDH3
ISW2,1,ISW2,4.71E-07,NODE,854480,ISW2
YBR019C,-1,GAL10,-1,ANCHOR,852307,GAL10
YPR035W,-1,GLN1,-1,ANCHOR,856147,GLN1
YBR020W,-1,GAL1,-1,TERMINAL,852308,GAL1
YOL086C,-1,ADH1,-1,ANCHOR,854068,ADH1
YMR267W,-1,PPA2,-1,TERMINAL,855309,PPA2
YOR375C,-1,GDH1,-1,TERMINAL,854557,GDH1
YAL062W,-1,GDH3,-1,TERMINAL,851237,GDH3
YJL088W,-1,ARG3,-1,TERMINAL,853357,ARG3
YOR374W,-1,ALD4,-1,TERMINAL,854556,ALD4
YDL055C,-1,PSA1,-1,TERMINAL,851504,PSA1
YOL096C,-1,COQ3,-1,TERMINAL,854057,COQ3
YMR226C,-1,YMR226C,-1,TERMINAL,855266,YMR226C
YDL215C,-1,GDH2,-1,TERMINAL,851311,GDH2
YBR011C,-1,IPP1,-1,TERMINAL,852296,IPP1
YGL205W,-1,POX1,-1,TERMINAL,852667,POX1
YPL061W,-1,ALD6,-1,TERMINAL,856044,ALD6
YMR083W,-1,ADH3,-1,ANCHOR,855107,ADH3
YLR359W,-1,ADE13,-1,TERMINAL,851073,ADE13
YHR018C,-1,ARG4,-1,TERMINAL,856411,ARG4
YML008C,-1,ERG6,-1,TERMINAL,855003,ERG6
YJL196C,-1,ELO1,-1,TERMINAL,853243,ELO1
YOL056W,-1,GPM3,-1,TERMINAL,854098,GPM3
YKL152C,-1,GPM1,-1,TERMINAL,853705,GPM1
YCR012W,-1,PGK1,-1,TERMINAL,850370,PGK1
YFL018C,-1,LPD1,-1,TERMINAL,850527,LPD1
YGR292W,-1,MAL12,-1,TERMINAL,853209,MAL12
YDL021W,-1,GPM2,-1,TERMINAL,851541,GPM2
YGR287C,-1,IMA1,-1,TERMINAL,853204,IMA1
YBR111C,-1,YSA1,-1,TERMINAL,852408,YSA1
YCR105W,-1,ADH7,-1,TERMINAL,850469,ADH7
YMR250W,-1,GAD1,-1,TERMINAL,855291,GAD1
YMR110C,-1,HFD1,-1,TERMINAL,855137,HFD1
YJR019C,-1,TES1,-1,TERMINAL,853477,TES1
YAL012W,-1,CYS3,-1,TERMINAL,851221,CYS3
YDR158W,-1,HOM2,-1,TERMINAL,851736,HOM2
YLR372W,-1,ELO3,-1,TERMINAL,851087,ELO3
YJR139C,-1,HOM6,-1,TERMINAL,853604,HOM6
YCR034W,-1,ELO2,-1,TERMINAL,850400,ELO2
YKR097W,-1,PCK1,-1,TERMINAL,853972,PCK1
YOL157C,-1,IMA2,-1,TERMINAL,854008,IMA2
YBR299W,-1,MAL32,-1,TERMINAL,852602,MAL32
YMR318C,-1,ADH6,-1,TERMINAL,855368,ADH6
YKL001C,-1,MET14,-1,TERMINAL,853869,MET14
YML086C,-1,ALO1,-1,TERMINAL,854888,ALO1
YIL172C,-1,IMA3,-1,TERMINAL,854635,IMA3
YEL021W,-1,URA3,-1,TERMINAL,856692,URA3
YMR170C,-1,ALD2,-1,TERMINAL,855206,ALD2
YMR169C,-1,ALD3,-1,TERMINAL,855205,ALD3
YER073W,-1,ALD5,-1,TERMINAL,856804,ALD5
YDR009W,-1,GAL3,-1,TERMINAL,851572,GAL3
YDR538W,-1,PAD1,-1,TERMINAL,852150,PAD1
YLR070C,-1,XYL2,-1,TERMINAL,850759,XYL2
YIR027C,-1,DAL1,-1,TERMINAL,854845,DAL1
YLR209C,-1,PNP1,-1,TERMINAL,850906,PNP1
YDR305C,-1,HNT2,-1,TERMINAL,851899,HNT2
YLR377C,-1,FBP1,-1,TERMINAL,851092,FBP1
YJL221C,-1,IMA4,-1,TERMINAL,853235,IMA4
YJL216C,-1,IMA5,-1,TERMINAL,853214,IMA5
